202101|2021-09-18|1600.0|149.6|1450.4
202109|2021-09-18|1661.25|249.6|1411.65
202109|2021-09-18|1661.25|249.6|1411.65
202109|2021-09-18|2981.25|373.02|2608.23
202109|2021-09-18|2981.25|373.02|2608.23
202109|2021-09-18|2981.25|351.77|2629.48
202109|2021-09-18|2981.25|434.02|2547.23
202109|2021-09-18|2981.25|434.02|2547.23
202109|2021-09-18|2981.25|434.02|2547.23
202109|2021-09-18|2981.25|434.02|2547.23
202109|2021-09-18|3304.6100000000006|434.02|2870.59
202109|2021-09-18|3304.6100000000006|434.02|2870.59
202109|2021-09-18|2981.79|434.02|2547.77
202109|2021-09-18|2981.79|434.02|2547.77
202109|2021-09-18|4301.38|4118.32|183.06
202109|2021-09-19|4396.86|550.48|3846.38
